season,slot,time_scenario,K_time
winter,morning,scenario_1,0.1861
winter,morning,scenario_2,0.2806
winter,morning,scenario_3,0.1278
winter,day,scenario_1,0.7472
winter,day,scenario_2,0.8556
winter,day,scenario_3,0.6639
winter,evening,scenario_1,1.0
winter,evening,scenario_2,1.0
winter,evening,scenario_3,1.0
winter,night,scenario_1,0.9625
winter,night,scenario_2,0.9917
winter,night,scenario_3,0.9333
summer,morning,scenario_1,0.0
summer,morning,scenario_2,0.0
summer,morning,scenario_3,0.0
summer,day,scenario_1,0.0
summer,day,scenario_2,0.0
summer,day,scenario_3,0.0
summer,evening,scenario_1,0.1
summer,evening,scenario_2,0.1667
summer,evening,scenario_3,0.0667
summer,night,scenario_1,0.05
summer,night,scenario_2,0.0833
summer,night,scenario_3,0.0333
midseason,morning,scenario_1,0.0
midseason,morning,scenario_2,0.0
midseason,morning,scenario_3,0.0
midseason,day,scenario_1,0.225
midseason,day,scenario_2,0.2764
midseason,day,scenario_3,0.1861
midseason,evening,scenario_1,0.8333
midseason,evening,scenario_2,0.9208
midseason,evening,scenario_3,0.7562
midseason,night,scenario_1,0.5333
midseason,night,scenario_2,0.6146
midseason,night,scenario_3,0.4667
