zone_group,activity_type,oopz_cells
Industrial,administration_business,1
Outside,services_retail,19
Outside,recreation,17
Outside,administration_business,14
Outside,education,7
Outside,transit,5
Outside,sport,5
Outside,leisure_culture,3
Outside,healthcare,3
Outside,child_activity,2
Public,administration_business,49
Public,healthcare,46
Public,education,21
Public,services_retail,21
Public,sport,18
Public,recreation,15
Public,child_activity,10
Public,leisure_culture,8
Public,transit,1
Recreation,recreation,321
Recreation,sport,53
Recreation,education,14
Recreation,healthcare,8
Recreation,child_activity,6
Recreation,administration_business,5
Recreation,leisure_culture,2
Recreation,services_retail,2
Residential,education,249
Residential,child_activity,46
Residential,sport,35
Residential,recreation,2
Residential,services_retail,2
Residential,administration_business,1
Special_Restricted,recreation,42
Special_Restricted,sport,16
Special_Restricted,leisure_culture,7
Special_Restricted,transit,1
