activity_type,osm_value,morning,day,evening,night
education,school,1,1,0,0
education,kindergarten,1,1,0,0
education,college,1,1,1,0
education,university,1,1,1,0
healthcare,hospital,1,1,1,1
healthcare,clinic,1,1,1,0
healthcare,doctors,1,1,1,0
healthcare,dentist,1,1,1,0
healthcare,pharmacy,1,1,1,0
healthcare,veterinary,1,1,1,0
child_activity,playground,1,1,1,0
transit,bus_station,1,1,1,1
sport,sports,1,1,1,0
sport,sports_centre,1,1,1,0
sport,fitness_centre,1,1,1,0
sport,stadium,1,1,1,0
sport,pitch,1,1,1,0
sport,ice_rink,1,1,1,0
recreation,park,1,1,1,0
recreation,square,1,1,1,0
recreation,dog_park,1,1,1,0
recreation,water_park,1,1,1,0
leisure_culture,theatre,0,1,1,0
leisure_culture,cinema,0,1,1,0
leisure_culture,arts_centre,0,1,1,0
leisure_culture,museum,1,1,1,0
leisure_culture,gallery,0,1,1,0
leisure_culture,community_centre,0,1,1,0
leisure_culture,library,1,1,1,0
leisure_culture,restaurant,0,1,1,0
leisure_culture,cafe,1,1,1,0
leisure_culture,fast_food,1,1,1,0
leisure_culture,pub,0,0,1,1
leisure_culture,bar,0,0,1,1
leisure_culture,nightclub,0,0,1,1
leisure_culture,place_of_worship,1,1,0,0
administration_business,government,0,1,0,0
administration_business,townhall,0,1,0,0
administration_business,courthouse,0,1,0,0
administration_business,police,1,1,1,1
administration_business,fire_station,1,1,1,1
administration_business,post_office,1,1,0,0
services_retail,supermarket,1,1,1,0
services_retail,mall,1,1,1,0
services_retail,marketplace,1,1,0,0
services_retail,department_store,1,1,1,0
services_retail,convenience,1,1,1,0
services_retail,bakery,1,1,1,0
services_retail,bank,1,1,1,0
