season,slot,time_scenario,albedo,K_time,K_albedo,cells_nonzero,mean_active,max
winter,morning,scenario_1,no_snow,0.5167,1.0,28778,0.5167,0.5167
winter,morning,scenario_1,dirty_snow,0.5167,0.85,28778,0.4392,0.4392
winter,morning,scenario_1,clean_snow,0.5167,0.25,28778,0.1292,0.1292
winter,morning,scenario_2,no_snow,0.6972,1.0,28778,0.6972,0.6972
winter,morning,scenario_2,dirty_snow,0.6972,0.85,28778,0.5926,0.5926
winter,morning,scenario_2,clean_snow,0.6972,0.25,28778,0.1743,0.1743
winter,morning,scenario_3,no_snow,0.3917,1.0,28778,0.3917,0.3917
winter,morning,scenario_3,dirty_snow,0.3917,0.85,28778,0.3329,0.3329
winter,morning,scenario_3,clean_snow,0.3917,0.25,28778,0.0979,0.0979
winter,day,scenario_1,no_snow,1.0,1.0,29115,1.0,1.0
winter,day,scenario_1,dirty_snow,1.0,0.85,29115,0.85,0.85
winter,day,scenario_1,clean_snow,1.0,0.25,29115,0.25,0.25
winter,day,scenario_2,no_snow,1.0,1.0,29115,1.0,1.0
winter,day,scenario_2,dirty_snow,1.0,0.85,29115,0.85,0.85
winter,day,scenario_2,clean_snow,1.0,0.25,29115,0.25,0.25
winter,day,scenario_3,no_snow,1.0,1.0,29115,1.0,1.0
winter,day,scenario_3,dirty_snow,1.0,0.85,29115,0.85,0.85
winter,day,scenario_3,clean_snow,1.0,0.25,29115,0.25,0.25
winter,evening,scenario_1,no_snow,1.0,1.0,24709,1.0,1.0
winter,evening,scenario_1,dirty_snow,1.0,0.85,24709,0.85,0.85
winter,evening,scenario_1,clean_snow,1.0,0.25,24709,0.25,0.25
winter,evening,scenario_2,no_snow,1.0,1.0,24709,1.0,1.0
winter,evening,scenario_2,dirty_snow,1.0,0.85,24709,0.85,0.85
winter,evening,scenario_2,clean_snow,1.0,0.25,24709,0.25,0.25
winter,evening,scenario_3,no_snow,1.0,1.0,24709,1.0,1.0
winter,evening,scenario_3,dirty_snow,1.0,0.85,24709,0.85,0.85
winter,evening,scenario_3,clean_snow,1.0,0.25,24709,0.25,0.25
winter,night,scenario_1,no_snow,0.6958,1.0,18120,0.6958,0.6958
winter,night,scenario_1,dirty_snow,0.6958,0.85,18120,0.5914,0.5914
winter,night,scenario_1,clean_snow,0.6958,0.25,18120,0.174,0.174
winter,night,scenario_2,no_snow,0.8146,1.0,18120,0.8146,0.8146
winter,night,scenario_2,dirty_snow,0.8146,0.85,18120,0.6924,0.6924
winter,night,scenario_2,clean_snow,0.8146,0.25,18120,0.2036,0.2036
winter,night,scenario_3,no_snow,0.6104,1.0,18120,0.6104,0.6104
winter,night,scenario_3,dirty_snow,0.6104,0.85,18120,0.5188,0.5188
winter,night,scenario_3,clean_snow,0.6104,0.25,18120,0.1526,0.1526
summer,morning,scenario_1,no_snow,0.0,1.0,0,0.0,0.0
summer,morning,scenario_1,dirty_snow,0.0,0.85,0,0.0,0.0
summer,morning,scenario_1,clean_snow,0.0,0.25,0,0.0,0.0
summer,morning,scenario_2,no_snow,0.0,1.0,0,0.0,0.0
summer,morning,scenario_2,dirty_snow,0.0,0.85,0,0.0,0.0
summer,morning,scenario_2,clean_snow,0.0,0.25,0,0.0,0.0
summer,morning,scenario_3,no_snow,0.0,1.0,0,0.0,0.0
summer,morning,scenario_3,dirty_snow,0.0,0.85,0,0.0,0.0
summer,morning,scenario_3,clean_snow,0.0,0.25,0,0.0,0.0
summer,day,scenario_1,no_snow,0.0,1.0,0,0.0,0.0
summer,day,scenario_1,dirty_snow,0.0,0.85,0,0.0,0.0
summer,day,scenario_1,clean_snow,0.0,0.25,0,0.0,0.0
summer,day,scenario_2,no_snow,0.0,1.0,0,0.0,0.0
summer,day,scenario_2,dirty_snow,0.0,0.85,0,0.0,0.0
summer,day,scenario_2,clean_snow,0.0,0.25,0,0.0,0.0
summer,day,scenario_3,no_snow,0.0,1.0,0,0.0,0.0
summer,day,scenario_3,dirty_snow,0.0,0.85,0,0.0,0.0
summer,day,scenario_3,clean_snow,0.0,0.25,0,0.0,0.0
summer,evening,scenario_1,no_snow,0.0,1.0,0,0.0,0.0
summer,evening,scenario_1,dirty_snow,0.0,0.85,0,0.0,0.0
