zone_group,activity_type,oopz_cells
Industrial,administration_business,35
Industrial,services_retail,14
Industrial,healthcare,4
Industrial,sport,2
Non_Urban,sport,57
Non_Urban,services_retail,3
Outside,sport,2
Outside,leisure_culture,1
Public,recreation,144
Public,sport,138
Public,healthcare,135
Public,services_retail,116
Public,education,102
Public,child_activity,56
Public,transit,24
Public,leisure_culture,15
Public,administration_business,9
Recreation,recreation,78
Recreation,child_activity,10
Recreation,education,4
Recreation,sport,3
Recreation,services_retail,1
Residential,education,532
Residential,child_activity,398
Residential,healthcare,94
Residential,sport,86
Residential,administration_business,82
Residential,services_retail,65
Residential,recreation,22
Residential,leisure_culture,9
Special_Restricted,recreation,10
Special_Restricted,administration_business,10
Special_Restricted,healthcare,3
