zone_group,activity_type,total,rank_1,rank_0,polygon,point
Industrial,administration_business,2,2,0,2,0
Industrial,leisure_culture,2,0,2,0,2
Industrial,services_retail,2,1,1,1,1
Non_Urban,sport,1,1,0,1,0
Public,administration_business,9,3,6,6,3
Public,child_activity,16,16,0,16,0
Public,education,13,13,0,11,2
Public,healthcare,13,6,7,7,6
Public,leisure_culture,29,2,27,14,15
Public,recreation,10,10,0,10,0
Public,services_retail,25,8,17,10,15
Public,sport,12,11,1,11,1
Public,transit,2,2,0,2,0
Recreation,child_activity,5,5,0,5,0
Recreation,education,1,1,0,1,0
Recreation,leisure_culture,1,1,0,1,0
Recreation,recreation,1,1,0,1,0
Residential,administration_business,13,8,5,7,6
Residential,child_activity,84,84,0,83,1
Residential,education,53,53,0,52,1
Residential,healthcare,36,5,31,7,29
Residential,leisure_culture,32,1,31,8,24
Residential,recreation,1,1,0,1,0
Residential,services_retail,29,6,23,7,22
Residential,sport,16,10,6,10,6
Special_Restricted,leisure_culture,1,0,1,0,1
Special_Restricted,recreation,2,2,0,2,0
